restaurant name,restaurant type,cuisines type,rate (out of 5),avg cost (two people),area,city
Karolbaug The Dhaba,Restaurant,"North Indian, Mughlai, Chinese",3.9,900.0,Hinjawadi,Pune
The Kinara Village Dhaba,Restaurant,"North Indian, Fast Food, Chinese, Mughlai, Beverages",3.9,1200.0,Lonavala,Pune
1000 Oaks,Restaurant,"North Indian, Mughlai, Salad",4.1,2200.0,East Street,Pune
Botanica The Green House Bar,Restaurant,"Asian, North Indian, Finger Food, Italian",4.1,1400.0,Bund Garden Road,Pune
Savya Rasa,Restaurant,"South Indian, Mangalorean, Kerala, Chettinad",4.6,2100.0,Koregaon Park,Pune
Shriniwas Veg,Restaurant,"North Indian, South Indian, Fast Food, Chinese",4.0,1000.0,Viman Nagar,Pune
The Burger Barn Cafe,Restaurant,"Burger, Fast Food",3.9,800.0,Shivaji Nagar,Pune
Shahi Bhoj Thali Restaurant,Restaurant,"North Indian, Maharashtrian, Rajasthani",4.5,500.0,Shivaji Nagar,Pune
Shahi Bhoj Thali Restaurant,Restaurant,"North Indian, Maharashtrian, Rajasthani",4.5,500.0,Shivaji Nagar,Pune
Pub Le City,Restaurant,"Italian, North Indian, Chinese",4.5,1800.0,Hadapsar,Pune
The Tasty Tiffin,Restaurant,"North Indian, Chinese, Biryani",4.0,400.0,Baner,Pune
Copa Cabana,Restaurant,"Chinese, Continental, Salad, Mexican, Italian, North Indian, Desserts",4.1,1600.0,Pimple Nilakh,Pune
द Vege टेबल,Restaurant,"North Indian, Continental, Italian",4.1,1000.0,FC Road,Pune
Pink Turbann,Restaurant,"North Indian, Fast Food",4.1,350.0,Aundh,Pune
Falahaar,Restaurant,"Fast Food, Street Food, Beverages, Juices",4.3,600.0,Baner,Pune
Parsi Dhaba,Restaurant,"Parsi, North Indian",4.5,1600.0,Lonavala,Pune
Vernekar's Goan Fish Curry,Restaurant,Goan,4.2,400.0,Karve Nagar,Pune
Lager Street - Lounge and Bar,Restaurant,"Bar Food, Continental, Italian, North Indian",4.0,1500.0,Balewadi,Pune
Mineority By Saby,Restaurant,"North Indian, North Eastern, Continental, Asian",4.2,1000.0,Kalyani Nagar,Pune
George Restaurant,Restaurant,"North Indian, Chinese, Biryani",4.0,800.0,East Street,Pune
Citrus Cafe - Lemon Tree Hotel,Restaurant,"North Indian, South Indian, Italian, Asian, Continental",4.2,1600.0,Hinjawadi,Pune
Over The Top - Radisson Blu,Restaurant,"Continental, North Indian, Asian, Bar Food",4.5,1600.0,Hinjawadi,Pune
Chini Chor,Restaurant,"Mithai, Street Food, South Indian",3.8,250.0,Kharadi,Pune
Fish On Dish,Restaurant,Mangalorean,3.7,500.0,Wakad,Pune
Flute,Restaurant,"Chinese, Continental, North Indian",4.0,700.0,Wakad,Pune
Raaga Imperio,Restaurant,"North Indian, Chinese, Continental, Seafood, Desserts",4.2,1700.0,Dange Chowk,Pune
Hoppipola,Restaurant,"Finger Food, Italian, Chinese, Modern Indian",4.5,1600.0,Kalyani Nagar,Pune
Chianti,Restaurant,"Italian, Pizza",4.7,1400.0,Viman Nagar,Pune
Ram Krishna,Restaurant,"Chinese, South Indian, Fast Food, North Indian",4.3,900.0,Camp Area,Pune
