restaurant name,restaurant type,cuisines type,rate (out of 5),avg cost (two people),area,local address,city
Just Cakes,Bakery,Bakery,3.4,350.0,Electronic City,Electronic City,Bangalore
Just Chill,Beverage Shop,Beverages,3.4,250.0,Bannerghatta Road,BTM,Bangalore
Just Delhiwala,Quick Bites,North Indian,3.8,300.0,Bellandur,Bellandur,Bangalore
Just Dosa,Quick Bites,South Indian,3.7,200.0,HSR,HSR,Bangalore
Just Eat,Quick Bites,"North Indian, Chinese, Beverages",2.8,500.0,Indiranagar,Indiranagar,Bangalore
Just Fresh Point,Quick Bites,"Street Food, American, Sandwich, Fast Food, Beverages, Burger, Desserts, Pizza",4.0,300.0,Electronic City,Electronic City,Bangalore
Just Homely,"Takeaway, Delivery",North Indian,2.8,300.0,Electronic City,Electronic City,Bangalore
Just Khao Suey,Casual Dining,Burmese,4.0,600.0,Old Airport Road,Indiranagar,Bangalore
Just Kulfi,Dessert Parlor,"Ice Cream, Fast Food",3.4,300.0,Indiranagar,Indiranagar,Bangalore
Just One More,Quick Bites,"South Indian, Street Food",3.4,200.0,Frazer Town,Frazer Town,Bangalore
Just Parathas,Quick Bites,North Indian,3.4,250.0,Brookefield,Brookefield,Bangalore
Just Protein,Food Truck,"Chinese, Fast Food",3.4,350.0,Kalyan Nagar,North Bangalore,Bangalore
Just Sandwiches,Quick Bites,Sandwich,3.6,100.0,Basavanagudi,BTM,Bangalore
Just Shawarma,Kiosk,Arabian,3.9,300.0,Electronic City,Electronic City,Bangalore
Just Thindi,Quick Bites,South Indian,3.6,200.0,Banashankari,Basavanagudi,Bangalore
Just Yum,Quick Bites,"North Indian, Chinese",3.6,500.0,Sarjapur Road,Sarjapur Road,Bangalore
Just@99,Quick Bites,"Chinese, South Indian, North Indian",3.1,300.0,New BEL Road,New BEL Road,Bangalore
JustBe Cafe,Cafe,"Cafe, Beverages, Healthy Food",4.3,1000.0,Malleshwaram,Sadashiv Nagar,Bangalore
JW Kitchen - JW Marriott Bengaluru,Fine Dining,"North Indian, Continental, Italian",4.4,2200.0,Brigade Road,Lavelle Road,Bangalore
K V Canteen,Quick Bites,South Indian,3.5,100.0,Brigade Road,Commercial Street,Bangalore
K.C Das,"Sweet Shop, Quick Bites","Mithai, Street Food",3.4,200.0,Bannerghatta Road,Bannerghatta Road,Bangalore
K.G.N Kabbab Corner,Quick Bites,"North Indian, Kebab",4.0,500.0,Kalyan Nagar,Kalyan Nagar,Bangalore
K27 - The Pub,Bar,"Chinese, North Indian",3.1,1000.0,Banashankari,Banashankari,Bangalore
KA 12 - Flavour Of Coorg,Quick Bites,South Indian,4.0,300.0,New BEL Road,New BEL Road,Bangalore
KA 51 Restocafe,Cafe,"Cafe, Mughlai",3.9,650.0,Electronic City,Electronic City,Bangalore
KA53,Delivery,"Biryani, North Indian, Chinese",3.9,300.0,Whitefield,Whitefield,Bangalore
Kaafi Desi,Quick Bites,"North Indian, Street Food",4.0,150.0,Marathahalli,Marathahalli,Bangalore
Kaaka T Cafe,Quick Bites,Fast Food,3.5,400.0,"Byresandra,Tavarekere,Madiwala",BTM,Bangalore
Kaapi Corner,Quick Bites,South Indian,2.8,100.0,Banashankari,Banashankari,Bangalore
Kaapi Kendra,Quick Bites,South Indian,3.7,100.0,Banashankari,Jayanagar,Bangalore
